,group_id,title,year,cnt,fraction
220,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1976,172,0.06767417246684163
1242,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1977,282,0.12489592006661115
1360,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1978,281,0.1154777119796825
2498,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1979,198,0.11204228181463227
2565,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1980,235,0.10612978543718697
3725,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1981,223,0.0922490144247674
4387,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1982,194,0.08995224185097603
4778,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1983,157,0.07323171073007817
5513,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1984,166,0.06712847824592477
6159,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1985,206,0.07642565379178833
6927,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1986,186,0.07056145675265554
7128,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1987,173,0.05503822452414205
7822,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1988,159,0.05185301138809533
8811,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1989,179,0.04658910491658208
9288,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1990,173,0.04641541528381819
9842,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1991,177,0.04332798057339809
10313,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1992,154,0.0356061131534531
11293,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1993,141,0.03163222269084774
11887,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1994,141,0.029181973405080976
12315,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1995,205,0.04183485639420271
13141,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1996,207,0.03731101161508014
14027,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1997,207,0.03355617660599537
14640,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1998,237,0.02988597931436267
15060,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",1999,237,0.029047713013497994
16032,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2000,249,0.029485670437832602
16508,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2001,300,0.03238869893516754
16798,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2002,259,0.027167898662689035
17434,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2003,234,0.023445131878866817
17991,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2004,222,0.022871059764551713
18761,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2005,179,0.020723373070497673
19776,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2006,210,0.02013254886696891
19994,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2007,126,0.013181143432809121
20757,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2008,99,0.010601751109435772
21725,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2009,156,0.015612552492203733
22094,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2010,193,0.014295777412523546
22763,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2011,175,0.012273905886495127
23190,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2012,228,0.014485700453504079
24056,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2013,339,0.01897421689376957
24516,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2014,412,0.019818840405420358
25110,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2015,434,0.01898746914536264
25882,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2016,563,0.022856224200478722
26440,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",2017,338,0.023638396869101328
234,A01C,PLANTING; SOWING; FERTILISING ,1976,108,0.04249308503731916
1231,A01C,PLANTING; SOWING; FERTILISING ,1977,110,0.04871826669264974
1725,A01C,PLANTING; SOWING; FERTILISING ,1978,135,0.05547861607564818
2521,A01C,PLANTING; SOWING; FERTILISING ,1979,98,0.05545527079714122
3108,A01C,PLANTING; SOWING; FERTILISING ,1980,123,0.05554878131393191
3635,A01C,PLANTING; SOWING; FERTILISING ,1981,150,0.062050906563744894
4053,A01C,PLANTING; SOWING; FERTILISING ,1982,94,0.043585106876246116
5025,A01C,PLANTING; SOWING; FERTILISING ,1983,92,0.04291284959979103
5647,A01C,PLANTING; SOWING; FERTILISING ,1984,122,0.04933538762652303
6102,A01C,PLANTING; SOWING; FERTILISING ,1985,108,0.04006781849278223
6714,A01C,PLANTING; SOWING; FERTILISING ,1986,150,0.05690440060698027
7140,A01C,PLANTING; SOWING; FERTILISING ,1987,128,0.0407219233473421
7814,A01C,PLANTING; SOWING; FERTILISING ,1988,144,0.046961217860916525
8445,A01C,PLANTING; SOWING; FERTILISING ,1989,84,0.021863043648004996
9584,A01C,PLANTING; SOWING; FERTILISING ,1990,112,0.030049286195304264
10035,A01C,PLANTING; SOWING; FERTILISING ,1991,119,0.029130111232962556
10869,A01C,PLANTING; SOWING; FERTILISING ,1992,98,0.022658435643106517
11309,A01C,PLANTING; SOWING; FERTILISING ,1993,85,0.0190690704164685
11544,A01C,PLANTING; SOWING; FERTILISING ,1994,119,0.02462875769648678
12422,A01C,PLANTING; SOWING; FERTILISING ,1995,108,0.02203982678328728
13276,A01C,PLANTING; SOWING; FERTILISING ,1996,137,0.024693761310463667
13622,A01C,PLANTING; SOWING; FERTILISING ,1997,129,0.020911820203736244
14300,A01C,PLANTING; SOWING; FERTILISING ,1998,160,0.020176188566658343
15054,A01C,PLANTING; SOWING; FERTILISING ,1999,201,0.024635402176004628
15508,A01C,PLANTING; SOWING; FERTILISING ,2000,204,0.024156934816537554
16063,A01C,PLANTING; SOWING; FERTILISING ,2001,211,0.022780051584401172
17018,A01C,PLANTING; SOWING; FERTILISING ,2002,156,0.016363676414592625
17386,A01C,PLANTING; SOWING; FERTILISING ,2003,206,0.020639731483104978
18393,A01C,PLANTING; SOWING; FERTILISING ,2004,175,0.01802898855313761
18830,A01C,PLANTING; SOWING; FERTILISING ,2005,137,0.01586090564613509
19854,A01C,PLANTING; SOWING; FERTILISING ,2006,161,0.015434954131342831
20199,A01C,PLANTING; SOWING; FERTILISING ,2007,134,0.014018041428543035
20807,A01C,PLANTING; SOWING; FERTILISING ,2008,146,0.015634905676541643
21784,A01C,PLANTING; SOWING; FERTILISING ,2009,172,0.01721383992730155
22042,A01C,PLANTING; SOWING; FERTILISING ,2010,208,0.015406848195880297
22501,A01C,PLANTING; SOWING; FERTILISING ,2011,208,0.014588413853662779
23691,A01C,PLANTING; SOWING; FERTILISING ,2012,195,0.012389085914181119
23930,A01C,PLANTING; SOWING; FERTILISING ,2013,307,0.01718314037282377
24826,A01C,PLANTING; SOWING; FERTILISING ,2014,457,0.021983519575915298
25602,A01C,PLANTING; SOWING; FERTILISING ,2015,528,0.023099962462560998
26297,A01C,PLANTING; SOWING; FERTILISING ,2016,718,0.029148790365797022
26807,A01C,PLANTING; SOWING; FERTILISING ,2017,467,0.0326601518871903
216,A01D,HARVESTING; MOWING ,1976,436,0.17154615811362178
656,A01D,HARVESTING; MOWING ,1977,462,0.20461672010912893
1744,A01D,HARVESTING; MOWING ,1978,436,0.17917538228876004
2030,A01D,HARVESTING; MOWING ,1979,346,0.19579105812051903
3114,A01D,HARVESTING; MOWING ,1980,493,0.22264674136397097
3492,A01D,HARVESTING; MOWING ,1981,509,0.21055940960630767
4403,A01D,HARVESTING; MOWING ,1982,410,0.19010525339639264
4613,A01D,HARVESTING; MOWING ,1983,256,0.11940966845159244
5445,A01D,HARVESTING; MOWING ,1984,341,0.13789645230036354
5772,A01D,HARVESTING; MOWING ,1985,407,0.15099631598668858
6904,A01D,HARVESTING; MOWING ,1986,317,0.12025796661608498
7368,A01D,HARVESTING; MOWING ,1987,371,0.11802994970206186
8044,A01D,HARVESTING; MOWING ,1988,396,0.12914334911752046
8779,A01D,HARVESTING; MOWING ,1989,432,0.11243851018973998
9201,A01D,HARVESTING; MOWING ,1990,547,0.14675856740028065
